method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,1,0.1546,2.269015033721924,1,1.825980925001279
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,2,0.2252,2.2043151279449464,1,1.6665493708427506
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,3,0.257,2.1364691749572753,1,1.573831510973699
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,4,0.2799,2.0501492321014405,1,1.5108149399998214
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,5,0.3065,1.9482399518966675,1,1.4641117003614252
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,6,0.3316,1.8870024518966675,1,1.4207098603031851
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,7,0.3438,1.8451179069519044,1,1.3810535134004827
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,8,0.3529,1.8044418838500977,1,1.343505639410982
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,9,0.3617,1.7480505683898926,1,1.3124229437510173
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,10,0.3651,1.7585652208328246,1,1.2790931371619003
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,11,0.3794,1.6897199161529541,1,1.252084392894398
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,12,0.3915,1.6500053016662597,1,1.2329637744053445
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,13,0.3939,1.6418282224655152,1,1.2132361026906004
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,14,0.4136,1.595246587753296,1,1.1947136963985183
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,15,0.4204,1.580737839126587,1,1.1768061605125966
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,16,0.418,1.56869828414917,1,1.162118067668544
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,17,0.444,1.519569208908081,1,1.1495189890500273
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,18,0.4415,1.5215499391555787,1,1.138856541841921
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,19,0.4557,1.4969370780944824,1,1.1241036329293492
fedavg,cifar10,0.0,13,results/logs/multiseed/cifar10_drift_all/seed_13/splits/cifar10_split_seed13_clients5_alpha0p3_ref500.json,,,20,0.4317,1.5478011613845826,1,1.1112275609572728
