method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,3,4,0.9999759197235107,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,4,0,0.9999759197235107,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,4,1,0.9999836087226868,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,4,2,0.9999752044677734,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,4,3,0.9999759197235107,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,4,4,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,0,0,1.0,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,0,1,0.9999673962593079,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,0,2,0.9999681711196899,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,0,3,0.9993087649345398,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,0,4,0.9997513890266418,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,1,0,0.9999673962593079,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,1,1,1.0,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,1,2,0.9999930262565613,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,1,3,0.9992748498916626,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,1,4,0.9996858835220337,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,2,0,0.9999681711196899,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,2,1,0.9999930262565613,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,2,2,1.0,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,2,3,0.9992149472236633,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,2,4,0.999623715877533,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,3,0,0.9993087649345398,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,3,1,0.9992748498916626,0.9996479153633118,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv3,3,2,0.9992149472236633,0.9996479153633118,500
