method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,1,0.1654,2.273048065185547,1,1.740818745413212
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,2,0.1879,2.2128320804595947,1,1.5859108523648193
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,3,0.2176,2.1135398681640627,1,1.4963936336618482
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,4,0.2548,2.0105792362213135,1,1.415541296433921
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,5,0.3002,1.9092739624023438,1,1.344793593223649
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,6,0.329,1.8157132488250733,1,1.2887446317744977
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,7,0.3349,1.7970142822265625,1,1.2492375320280442
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,8,0.3712,1.705503615951538,1,1.2111802480184672
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,9,0.3723,1.6964603937149048,1,1.1835923147635028
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,10,0.3944,1.6379876333236694,1,1.1557237569202077
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,11,0.4058,1.5927439849853515,1,1.1391450444544204
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,12,0.4009,1.6043039686203002,1,1.1139858609365694
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,13,0.4248,1.5754767910003662,1,1.1028062874476117
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,14,0.4291,1.533143853187561,1,1.0869666693957165
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,15,0.4442,1.5025395322799682,1,1.0758525229427551
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,16,0.4436,1.4988752626419068,1,1.0634053318115195
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,17,0.4402,1.5135564458847046,1,1.0461553396408005
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,18,0.4573,1.4679774839401245,1,1.0375975662313326
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,19,0.456,1.468111538696289,1,1.024842377172576
fedavg,cifar10,0.0,100,results/logs/multiseed/cifar10/seed_100/splits/cifar10_split_seed100_clients5_alpha0p3_ref500.json,,20,0.4709,1.4377744583129883,1,1.012463422634987
