method,dataset,sparsity,seed,split_manifest_path,cka_strength,round,test_accuracy,test_loss,evaluated,avg_train_loss,pruned_weights,regrown_weights,mask_changes,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_conv3_weight,sparsity_fc1_weight,sparsity_fc2_weight
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,1,0.1,2.303034298706055,1,2.234785011373385,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,2,0.1,2.3036543533325196,1,2.2353521310151225,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,3,0.1,2.304596099472046,1,2.236087871156558,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,4,0.1,2.3056762771606447,1,2.237191551916527,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,5,0.1,2.306811100769043,1,2.2385865167030183,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,6,0.1,2.3079054538726806,1,2.2397930755181745,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,7,0.1,2.3089533695220945,1,2.240717015425364,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,8,0.1,2.309912255859375,1,2.2416228333338344,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,9,0.1,2.3108060485839843,1,2.24281268218551,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,10,0.1,2.3115910552978516,1,2.2436078956825565,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,11,0.1,2.3123160305023194,1,2.243978138764699,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,12,0.1,2.3129381988525393,1,2.2444584468783755,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,13,0.1,2.313509017562866,1,2.2454168812289383,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,14,0.1,2.313990664291382,1,2.245741316636403,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,15,0.1,2.3144486278533933,1,2.2455964900989724,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,16,0.1,2.3148209342956543,1,2.2455484629351683,6199,6199,12398,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
feddst,cifar10,0.95,42,results/logs/multiseed/cifar10/seed_42/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,,17,0.1,2.315174122619629,1,2.24642379779045,0,0,0,0.9499993547054876,30994,619872,conv1.weight:0.946759;conv2.weight:0.948730;conv3.weight:0.948419;fc1.weight:0.950260;fc2.weight:0.952344,0.9467592592592593,0.94873046875,0.9484185112847222,0.9502601623535156,0.95234375
