round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
2,conv1,0,0,1.0,0.9999765157699585,200
2,conv1,0,1,0.9999727010726929,0.9999765157699585,200
2,conv1,0,2,0.9999917149543762,0.9999765157699585,200
2,conv1,0,3,0.9999895095825195,0.9999765157699585,200
2,conv1,0,4,0.9999985098838806,0.9999765157699585,200
2,conv1,1,0,0.9999727010726929,0.9999765157699585,200
2,conv1,1,1,1.0,0.9999765157699585,200
2,conv1,1,2,0.9999343156814575,0.9999765157699585,200
2,conv1,1,3,0.9999274611473083,0.9999765157699585,200
2,conv1,1,4,0.999963104724884,0.9999765157699585,200
2,conv1,2,0,0.9999917149543762,0.9999765157699585,200
2,conv1,2,1,0.9999343156814575,0.9999765157699585,200
2,conv1,2,2,1.0,0.9999765157699585,200
2,conv1,2,3,0.9999995231628418,0.9999765157699585,200
2,conv1,2,4,0.9999957084655762,0.9999765157699585,200
2,conv1,3,0,0.9999895095825195,0.9999765157699585,200
2,conv1,3,1,0.9999274611473083,0.9999765157699585,200
2,conv1,3,2,0.9999995231628418,0.9999765157699585,200
2,conv1,3,3,1.0,0.9999765157699585,200
2,conv1,3,4,0.9999927878379822,0.9999765157699585,200
2,conv1,4,0,0.9999985098838806,0.9999765157699585,200
2,conv1,4,1,0.999963104724884,0.9999765157699585,200
2,conv1,4,2,0.9999957084655762,0.9999765157699585,200
2,conv1,4,3,0.9999927878379822,0.9999765157699585,200
2,conv1,4,4,1.0,0.9999765157699585,200
2,conv2,0,0,1.0,0.9998141527175903,200
2,conv2,0,1,0.9999123811721802,0.9998141527175903,200
2,conv2,0,2,0.9998677968978882,0.9998141527175903,200
2,conv2,0,3,0.9999799728393555,0.9998141527175903,200
2,conv2,0,4,0.9995222091674805,0.9998141527175903,200
2,conv2,1,0,0.9999123811721802,0.9998141527175903,200
2,conv2,1,1,1.0,0.9998141527175903,200
2,conv2,1,2,0.9999603033065796,0.9998141527175903,200
2,conv2,1,3,0.999878466129303,0.9998141527175903,200
2,conv2,1,4,0.9998028874397278,0.9998141527175903,200
2,conv2,2,0,0.9998677968978882,0.9998141527175903,200
2,conv2,2,1,0.9999603033065796,0.9998141527175903,200
2,conv2,2,2,1.0,0.9998141527175903,200
2,conv2,2,3,0.9998632669448853,0.9998141527175903,200
2,conv2,2,4,0.9998730421066284,0.9998141527175903,200
2,conv2,3,0,0.9999799728393555,0.9998141527175903,200
2,conv2,3,1,0.999878466129303,0.9998141527175903,200
2,conv2,3,2,0.9998632669448853,0.9998141527175903,200
2,conv2,3,3,1.0,0.9998141527175903,200
2,conv2,3,4,0.9994802474975586,0.9998141527175903,200
2,conv2,4,0,0.9995222091674805,0.9998141527175903,200
2,conv2,4,1,0.9998028874397278,0.9998141527175903,200
2,conv2,4,2,0.9998730421066284,0.9998141527175903,200
2,conv2,4,3,0.9994802474975586,0.9998141527175903,200
2,conv2,4,4,1.0,0.9998141527175903,200
2,fc1,0,0,1.0,0.837757408618927,200
2,fc1,0,1,0.8231037855148315,0.837757408618927,200
2,fc1,0,2,0.9525798559188843,0.837757408618927,200
2,fc1,0,3,0.915365993976593,0.837757408618927,200
2,fc1,0,4,0.8417565822601318,0.837757408618927,200
2,fc1,1,0,0.8231037855148315,0.837757408618927,200
2,fc1,1,1,1.0,0.837757408618927,200
2,fc1,1,2,0.7953158617019653,0.837757408618927,200
2,fc1,1,3,0.7606918811798096,0.837757408618927,200
2,fc1,1,4,0.7548711895942688,0.837757408618927,200
2,fc1,2,0,0.9525798559188843,0.837757408618927,200
2,fc1,2,1,0.7953158617019653,0.837757408618927,200
2,fc1,2,2,1.0,0.837757408618927,200
2,fc1,2,3,0.9384002685546875,0.837757408618927,200
2,fc1,2,4,0.8413744568824768,0.837757408618927,200
2,fc1,3,0,0.915365993976593,0.837757408618927,200
2,fc1,3,1,0.7606918811798096,0.837757408618927,200
2,fc1,3,2,0.9384002685546875,0.837757408618927,200
2,fc1,3,3,1.0,0.837757408618927,200
2,fc1,3,4,0.7541143894195557,0.837757408618927,200
2,fc1,4,0,0.8417565822601318,0.837757408618927,200
2,fc1,4,1,0.7548711895942688,0.837757408618927,200
2,fc1,4,2,0.8413744568824768,0.837757408618927,200
2,fc1,4,3,0.7541143894195557,0.837757408618927,200
2,fc1,4,4,1.0,0.837757408618927,200
