round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
2,conv1,0,0,1.0,1.0,200
2,conv1,0,1,1.0,1.0,200
2,conv1,0,2,1.0,1.0,200
2,conv1,0,3,1.0,1.0,200
2,conv1,0,4,1.0,1.0,200
2,conv1,1,0,1.0,1.0,200
2,conv1,1,1,1.0,1.0,200
2,conv1,1,2,1.0,1.0,200
2,conv1,1,3,1.0,1.0,200
2,conv1,1,4,0.9999998807907104,1.0,200
2,conv1,2,0,1.0,1.0,200
2,conv1,2,1,1.0,1.0,200
2,conv1,2,2,1.0,1.0,200
2,conv1,2,3,1.0,1.0,200
2,conv1,2,4,1.0,1.0,200
2,conv1,3,0,1.0,1.0,200
2,conv1,3,1,1.0,1.0,200
2,conv1,3,2,1.0,1.0,200
2,conv1,3,3,1.0,1.0,200
2,conv1,3,4,1.0,1.0,200
2,conv1,4,0,1.0,1.0,200
2,conv1,4,1,0.9999998807907104,1.0,200
2,conv1,4,2,1.0,1.0,200
2,conv1,4,3,1.0,1.0,200
2,conv1,4,4,1.0,1.0,200
2,conv2,0,0,1.0,0.9998089075088501,200
2,conv2,0,1,0.9999749660491943,0.9998089075088501,200
2,conv2,0,2,0.9997850060462952,0.9998089075088501,200
2,conv2,0,3,0.9995529651641846,0.9998089075088501,200
2,conv2,0,4,0.9999458193778992,0.9998089075088501,200
2,conv2,1,0,0.9999749660491943,0.9998089075088501,200
2,conv2,1,1,1.0,0.9998089075088501,200
2,conv2,1,2,0.9998213648796082,0.9998089075088501,200
2,conv2,1,3,0.9995830059051514,0.9998089075088501,200
2,conv2,1,4,0.9999648928642273,0.9998089075088501,200
2,conv2,2,0,0.9997850060462952,0.9998089075088501,200
2,conv2,2,1,0.9998213648796082,0.9998089075088501,200
2,conv2,2,2,1.0,0.9998089075088501,200
2,conv2,2,3,0.9998676776885986,0.9998089075088501,200
2,conv2,2,4,0.9998923540115356,0.9998089075088501,200
2,conv2,3,0,0.9995529651641846,0.9998089075088501,200
2,conv2,3,1,0.9995830059051514,0.9998089075088501,200
2,conv2,3,2,0.9998676776885986,0.9998089075088501,200
2,conv2,3,3,1.0,0.9998089075088501,200
2,conv2,3,4,0.999701738357544,0.9998089075088501,200
2,conv2,4,0,0.9999458193778992,0.9998089075088501,200
2,conv2,4,1,0.9999648928642273,0.9998089075088501,200
2,conv2,4,2,0.9998923540115356,0.9998089075088501,200
2,conv2,4,3,0.999701738357544,0.9998089075088501,200
2,conv2,4,4,1.0,0.9998089075088501,200
2,fc1,0,0,1.0,0.9617432355880737,200
2,fc1,0,1,0.990032434463501,0.9617432355880737,200
2,fc1,0,2,0.9532750844955444,0.9617432355880737,200
2,fc1,0,3,0.9633413553237915,0.9617432355880737,200
2,fc1,0,4,0.9720748662948608,0.9617432355880737,200
2,fc1,1,0,0.990032434463501,0.9617432355880737,200
2,fc1,1,1,1.0,0.9617432355880737,200
2,fc1,1,2,0.9537748694419861,0.9617432355880737,200
2,fc1,1,3,0.9572564363479614,0.9617432355880737,200
2,fc1,1,4,0.974722683429718,0.9617432355880737,200
2,fc1,2,0,0.9532750844955444,0.9617432355880737,200
2,fc1,2,1,0.9537748694419861,0.9617432355880737,200
2,fc1,2,2,1.0,0.9617432355880737,200
2,fc1,2,3,0.9410622119903564,0.9617432355880737,200
2,fc1,2,4,0.954971969127655,0.9617432355880737,200
2,fc1,3,0,0.9633413553237915,0.9617432355880737,200
2,fc1,3,1,0.9572564363479614,0.9617432355880737,200
2,fc1,3,2,0.9410622119903564,0.9617432355880737,200
2,fc1,3,3,1.0,0.9617432355880737,200
2,fc1,3,4,0.9569210410118103,0.9617432355880737,200
2,fc1,4,0,0.9720748662948608,0.9617432355880737,200
2,fc1,4,1,0.974722683429718,0.9617432355880737,200
2,fc1,4,2,0.954971969127655,0.9617432355880737,200
2,fc1,4,3,0.9569210410118103,0.9617432355880737,200
2,fc1,4,4,1.0,0.9617432355880737,200
4,conv1,0,0,1.0,0.9999486804008484,200
4,conv1,0,1,1.0,0.9999486804008484,200
4,conv1,0,2,0.9999282956123352,0.9999486804008484,200
4,conv1,0,3,0.9998778104782104,0.9999486804008484,200
4,conv1,0,4,0.9999971389770508,0.9999486804008484,200
4,conv1,1,0,1.0,0.9999486804008484,200
4,conv1,1,1,1.0,0.9999486804008484,200
4,conv1,1,2,0.9999330043792725,0.9999486804008484,200
4,conv1,1,3,0.9998840093612671,0.9999486804008484,200
4,conv1,1,4,0.9999980926513672,0.9999486804008484,200
4,conv1,2,0,0.9999282956123352,0.9999486804008484,200
4,conv1,2,1,0.9999330043792725,0.9999486804008484,200
4,conv1,2,2,1.0,0.9999486804008484,200
4,conv1,2,3,0.9999938607215881,0.9999486804008484,200
4,conv1,2,4,0.9999570846557617,0.9999486804008484,200
4,conv1,3,0,0.9998778104782104,0.9999486804008484,200
4,conv1,3,1,0.9998840093612671,0.9999486804008484,200
4,conv1,3,2,0.9999938607215881,0.9999486804008484,200
4,conv1,3,3,1.0,0.9999486804008484,200
4,conv1,3,4,0.9999164938926697,0.9999486804008484,200
4,conv1,4,0,0.9999971389770508,0.9999486804008484,200
4,conv1,4,1,0.9999980926513672,0.9999486804008484,200
4,conv1,4,2,0.9999570846557617,0.9999486804008484,200
4,conv1,4,3,0.9999164938926697,0.9999486804008484,200
4,conv1,4,4,1.0,0.9999486804008484,200
4,conv2,0,0,1.0,0.9999147653579712,200
4,conv2,0,1,0.9999908208847046,0.9999147653579712,200
4,conv2,0,2,0.9998111128807068,0.9999147653579712,200
4,conv2,0,3,0.9998438954353333,0.9999147653579712,200
4,conv2,0,4,0.9999901056289673,0.9999147653579712,200
4,conv2,1,0,0.9999908208847046,0.9999147653579712,200
4,conv2,1,1,1.0,0.9999147653579712,200
4,conv2,1,2,0.9998746514320374,0.9999147653579712,200
4,conv2,1,3,0.9998870491981506,0.9999147653579712,200
4,conv2,1,4,0.999997079372406,0.9999147653579712,200
4,conv2,2,0,0.9998111128807068,0.9999147653579712,200
4,conv2,2,1,0.9998746514320374,0.9999147653579712,200
4,conv2,2,2,1.0,0.9999147653579712,200
4,conv2,2,3,0.9999746084213257,0.9999147653579712,200
4,conv2,2,4,0.9998787045478821,0.9999147653579712,200
4,conv2,3,0,0.9998438954353333,0.9999147653579712,200
4,conv2,3,1,0.9998870491981506,0.9999147653579712,200
4,conv2,3,2,0.9999746084213257,0.9999147653579712,200
4,conv2,3,3,1.0,0.9999147653579712,200
4,conv2,3,4,0.999900221824646,0.9999147653579712,200
4,conv2,4,0,0.9999901056289673,0.9999147653579712,200
4,conv2,4,1,0.999997079372406,0.9999147653579712,200
4,conv2,4,2,0.9998787045478821,0.9999147653579712,200
4,conv2,4,3,0.999900221824646,0.9999147653579712,200
4,conv2,4,4,1.0,0.9999147653579712,200
4,fc1,0,0,1.0,0.9901639223098755,200
4,fc1,0,1,0.9968152642250061,0.9901639223098755,200
4,fc1,0,2,0.9877641797065735,0.9901639223098755,200
4,fc1,0,3,0.9875152111053467,0.9901639223098755,200
4,fc1,0,4,0.9957135915756226,0.9901639223098755,200
4,fc1,1,0,0.9968152642250061,0.9901639223098755,200
4,fc1,1,1,1.0,0.9901639223098755,200
4,fc1,1,2,0.991338312625885,0.9901639223098755,200
4,fc1,1,3,0.9856358170509338,0.9901639223098755,200
4,fc1,1,4,0.995010495185852,0.9901639223098755,200
4,fc1,2,0,0.9877641797065735,0.9901639223098755,200
4,fc1,2,1,0.991338312625885,0.9901639223098755,200
4,fc1,2,2,1.0,0.9901639223098755,200
4,fc1,2,3,0.9864218831062317,0.9901639223098755,200
4,fc1,2,4,0.9887210130691528,0.9901639223098755,200
4,fc1,3,0,0.9875152111053467,0.9901639223098755,200
