method,dataset,sparsity,seed,round,test_accuracy,test_loss,avg_train_loss,total_sparsity,active_params,total_params,layer_sparsity,sparsity_conv1_weight,sparsity_conv2_weight,sparsity_fc1_weight,sparsity_fc2_weight
sparse_fedavg,mnist,0.9,42,1,0.098,2.3033218368530273,2.1910110861261685,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,2,0.098,2.304220694732666,2.190964924720923,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,3,0.098,2.3053957889556886,2.191063382983208,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,4,0.1135,2.306681967163086,2.1911464357654253,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,5,0.1135,2.307965777587891,2.1907658539573354,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,6,0.1285,2.3092040172576906,2.189075821797053,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,7,0.1929,2.310368291091919,2.1848290370345116,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,8,0.2018,2.3114473415374754,2.1747354001382986,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,9,0.1351,2.312280896759033,2.1523747667233146,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
sparse_fedavg,mnist,0.9,42,10,0.203,2.3123796459198,2.1136912003993986,0.8999995254005619,42141,421408,conv1.weight:0.902778;conv2.weight:0.898600;fc1.weight:0.900049;fc2.weight:0.903906,0.9027777777777778,0.8986002604166666,0.9000493263711735,0.90390625
