round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
1,conv1,0,0,1.0,0.9997847676277161,100
1,conv1,0,1,0.9997339844703674,0.9997847676277161,100
1,conv1,0,2,0.9999961256980896,0.9997847676277161,100
1,conv1,0,3,0.9999505281448364,0.9997847676277161,100
1,conv1,0,4,0.9997517466545105,0.9997847676277161,100
1,conv1,1,0,0.9997339844703674,0.9997847676277161,100
1,conv1,1,1,1.0,0.9997847676277161,100
1,conv1,1,2,0.9997692108154297,0.9997847676277161,100
1,conv1,1,3,0.9994614720344543,0.9997847676277161,100
1,conv1,1,4,0.999970555305481,0.9997847676277161,100
1,conv1,2,0,0.9999961256980896,0.9997847676277161,100
1,conv1,2,1,0.9997692108154297,0.9997847676277161,100
1,conv1,2,2,1.0,0.9997847676277161,100
1,conv1,2,3,0.9999319314956665,0.9997847676277161,100
1,conv1,2,4,0.9997767806053162,0.9997847676277161,100
1,conv1,3,0,0.9999505281448364,0.9997847676277161,100
1,conv1,3,1,0.9994614720344543,0.9997847676277161,100
1,conv1,3,2,0.9999319314956665,0.9997847676277161,100
1,conv1,3,3,1.0,0.9997847676277161,100
1,conv1,3,4,0.9995050430297852,0.9997847676277161,100
1,conv1,4,0,0.9997517466545105,0.9997847676277161,100
1,conv1,4,1,0.999970555305481,0.9997847676277161,100
1,conv1,4,2,0.9997767806053162,0.9997847676277161,100
1,conv1,4,3,0.9995050430297852,0.9997847676277161,100
1,conv1,4,4,1.0,0.9997847676277161,100
1,conv2,0,0,1.0,0.9972715377807617,100
1,conv2,0,1,0.9975203275680542,0.9972715377807617,100
1,conv2,0,2,0.9992856383323669,0.9972715377807617,100
1,conv2,0,3,0.9996899366378784,0.9972715377807617,100
1,conv2,0,4,0.9959139227867126,0.9972715377807617,100
1,conv2,1,0,0.9975203275680542,0.9972715377807617,100
1,conv2,1,1,1.0,0.9972715377807617,100
1,conv2,1,2,0.9989144206047058,0.9972715377807617,100
1,conv2,1,3,0.9967064261436462,0.9972715377807617,100
1,conv2,1,4,0.9954830408096313,0.9972715377807617,100
1,conv2,2,0,0.9992856383323669,0.9972715377807617,100
1,conv2,2,1,0.9989144206047058,0.9972715377807617,100
1,conv2,2,2,1.0,0.9972715377807617,100
1,conv2,2,3,0.9989340901374817,0.9972715377807617,100
1,conv2,2,4,0.9944922924041748,0.9972715377807617,100
1,conv2,3,0,0.9996899366378784,0.9972715377807617,100
1,conv2,3,1,0.9967064261436462,0.9972715377807617,100
1,conv2,3,2,0.9989340901374817,0.9972715377807617,100
1,conv2,3,3,1.0,0.9972715377807617,100
1,conv2,3,4,0.9957751631736755,0.9972715377807617,100
1,conv2,4,0,0.9959139227867126,0.9972715377807617,100
1,conv2,4,1,0.9954830408096313,0.9972715377807617,100
1,conv2,4,2,0.9944922924041748,0.9972715377807617,100
1,conv2,4,3,0.9957751631736755,0.9972715377807617,100
1,conv2,4,4,1.0,0.9972715377807617,100
1,fc1,0,0,1.0,0.8644101023674011,100
1,fc1,0,1,0.9020624756813049,0.8644101023674011,100
1,fc1,0,2,0.939121663570404,0.8644101023674011,100
1,fc1,0,3,0.9204991459846497,0.8644101023674011,100
1,fc1,0,4,0.8616595268249512,0.8644101023674011,100
1,fc1,1,0,0.9020624756813049,0.8644101023674011,100
1,fc1,1,1,1.0,0.8644101023674011,100
1,fc1,1,2,0.9150179028511047,0.8644101023674011,100
1,fc1,1,3,0.8451167345046997,0.8644101023674011,100
1,fc1,1,4,0.7408637404441833,0.8644101023674011,100
1,fc1,2,0,0.939121663570404,0.8644101023674011,100
1,fc1,2,1,0.9150179028511047,0.8644101023674011,100
1,fc1,2,2,1.0,0.8644101023674011,100
1,fc1,2,3,0.9153279662132263,0.8644101023674011,100
1,fc1,2,4,0.7991523742675781,0.8644101023674011,100
1,fc1,3,0,0.9204991459846497,0.8644101023674011,100
1,fc1,3,1,0.8451167345046997,0.8644101023674011,100
1,fc1,3,2,0.9153279662132263,0.8644101023674011,100
1,fc1,3,3,1.0,0.8644101023674011,100
1,fc1,3,4,0.805279552936554,0.8644101023674011,100
1,fc1,4,0,0.8616595268249512,0.8644101023674011,100
1,fc1,4,1,0.7408637404441833,0.8644101023674011,100
1,fc1,4,2,0.7991523742675781,0.8644101023674011,100
1,fc1,4,3,0.805279552936554,0.8644101023674011,100
1,fc1,4,4,1.0,0.8644101023674011,100
